Product ID,Product Name,Category,Date,Online Store Location,Sales Quantity,Selling Price,Promotions,Demand Trend,Customer Segments,Warehouse Location,Stock Levels,Stockout Frequency,Reorder Point,Order Fulfillment Time (days),Retail Store Location,Market Price,Competitor Prices,Discounts,Sales Volume,Return Rate (%),Elasticity Index
4277,Refrigerator,Home Appliances,2024-01-03,Mumbai,330,24.38,No,Increasing,Regular,Chennai,10,10,19,8,Bangalore,31.25,54.64,22.15,207,18.61,1.28
5406,Mixer,Home Appliances,2024-01-11,Kolkata,429,24.83,Yes,Decreasing,Premium,Kolkata,296,10,128,6,Mumbai,10.22,14.24,40.19,268,17.19,2.23
5617,T-Shirt,Fashion,2024-04-04,Ahmedabad,298,13.41,No,Stable,Regular,Pune,807,17,195,9,Ahmedabad,87.52,54.64,49.52,328,15.77,1.79
5617,T-Shirt,Fashion,2024-04-04,Ahmedabad,298,13.41,No,Stable,Regular,Delhi,356,12,42,1,Ahmedabad,87.52,54.64,49.52,328,15.77,1.79
7315,Jeans,Fashion,2024-11-25,Chennai,336,59.54,Yes,Stable,Premium,Bangalore,493,11,69,11,Hyderabad,86.49,16.88,11.8,428,14.8,0.51
2902,T-Shirt,Fashion,2024-11-13,Delhi,475,35.61,No,Increasing,Budget,Hyderabad,792,14,192,12,Delhi,63.03,40.26,40.3,410,18.71,1.37
2902,T-Shirt,Fashion,2024-11-13,Delhi,475,35.61,No,Increasing,Budget,Hyderabad,792,14,192,12,Chennai,52.06,59.22,20.47,24,14.89,2.29
4497,Bookshelf,Furniture,2024-10-25,Bangalore,388,33.53,No,Increasing,Premium,Kolkata,971,0,113,10,Bangalore,39.5,99.39,0.35,389,13.19,2.01
4497,Bookshelf,Furniture,2024-10-25,Bangalore,388,33.53,No,Increasing,Premium,Chennai,732,12,176,1,Bangalore,39.5,99.39,0.35,389,13.19,2.01
3900,Laptop,Electronics,2024-05-13,Mumbai,434,31.01,Yes,Increasing,Regular,Delhi,145,3,198,6,Delhi,98.5,86.36,44.84,34,12.41,0.87
3900,Laptop,Electronics,2024-05-13,Mumbai,434,31.01,Yes,Increasing,Regular,Ahmedabad,211,6,153,2,Delhi,98.5,86.36,44.84,34,12.41,0.87
6894,Fan,Home Appliances,2024-04-01,Ahmedabad,29,27.17,Yes,Increasing,Budget,Pune,563,0,154,4,Bangalore,33.67,78.4,47.32,305,5.48,2.21
6894,Fan,Home Appliances,2024-04-01,Ahmedabad,29,27.17,Yes,Increasing,Budget,Pune,563,0,154,4,Chennai,72.31,34.98,41.76,320,12.22,1.18
6894,Fan,Home Appliances,2024-04-01,Ahmedabad,29,27.17,Yes,Increasing,Budget,Hyderabad,913,18,23,5,Bangalore,33.67,78.4,47.32,305,5.48,2.21
6894,Fan,Home Appliances,2024-04-01,Ahmedabad,29,27.17,Yes,Increasing,Budget,Hyderabad,913,18,23,5,Chennai,72.31,34.98,41.76,320,12.22,1.18
6894,Fan,Home Appliances,2024-04-01,Ahmedabad,29,27.17,Yes,Increasing,Budget,Pune,336,18,49,4,Bangalore,33.67,78.4,47.32,305,5.48,2.21
6894,Fan,Home Appliances,2024-04-01,Ahmedabad,29,27.17,Yes,Increasing,Budget,Pune,336,18,49,4,Chennai,72.31,34.98,41.76,320,12.22,1.18
7767,Keyboard,Electronics,2024-07-06,Pune,397,15.8,Yes,Stable,Budget,Ahmedabad,132,12,38,11,Chennai,7.35,60.1,46.74,397,11.19,0.74
7767,Keyboard,Electronics,2024-07-06,Pune,397,15.8,Yes,Stable,Budget,Hyderabad,338,11,57,9,Chennai,7.35,60.1,46.74,397,11.19,0.74
9817,Monitor,Electronics,2024-05-10,Kolkata,467,52.82,Yes,Increasing,Budget,Mumbai,442,19,40,14,Ahmedabad,41.63,83.93,38.09,13,15.58,1.92
9817,Monitor,Electronics,2024-05-10,Kolkata,467,52.82,Yes,Increasing,Budget,Bangalore,893,16,56,12,Ahmedabad,41.63,83.93,38.09,13,15.58,1.92
1206,Sofa,Furniture,2024-03-09,Hyderabad,322,36.76,No,Increasing,Premium,Ahmedabad,686,1,182,7,Bangalore,55.25,8.2,32.25,497,4.21,2.31
6410,T-Shirt,Fashion,2024-12-24,Kolkata,381,81.72,Yes,Stable,Budget,Ahmedabad,152,16,138,3,Bangalore,6.85,14.05,42.26,348,9.62,1.61
6410,T-Shirt,Fashion,2024-12-24,Kolkata,381,81.72,Yes,Stable,Budget,Ahmedabad,152,16,138,3,Hyderabad,30.98,50.09,22.22,268,11.88,1.57
6410,T-Shirt,Fashion,2024-12-24,Kolkata,381,81.72,Yes,Stable,Budget,Bangalore,98,19,51,9,Bangalore,6.85,14.05,42.26,348,9.62,1.61
6410,T-Shirt,Fashion,2024-12-24,Kolkata,381,81.72,Yes,Stable,Budget,Bangalore,98,19,51,9,Hyderabad,30.98,50.09,22.22,268,11.88,1.57
6410,T-Shirt,Fashion,2024-12-24,Kolkata,381,81.72,Yes,Stable,Budget,Ahmedabad,22,12,66,9,Bangalore,6.85,14.05,42.26,348,9.62,1.61
6410,T-Shirt,Fashion,2024-12-24,Kolkata,381,81.72,Yes,Stable,Budget,Ahmedabad,22,12,66,9,Hyderabad,30.98,50.09,22.22,268,11.88,1.57
6410,T-Shirt,Fashion,2024-12-24,Kolkata,381,81.72,Yes,Stable,Budget,Hyderabad,331,0,35,14,Bangalore,6.85,14.05,42.26,348,9.62,1.61
6410,T-Shirt,Fashion,2024-12-24,Kolkata,381,81.72,Yes,Stable,Budget,Hyderabad,331,0,35,14,Hyderabad,30.98,50.09,22.22,268,11.88,1.57
9964,Monitor,Electronics,2024-12-09,Kolkata,252,65.22,Yes,Increasing,Premium,Mumbai,307,5,28,9,Chennai,58.53,31.78,44.8,32,4.68,2.49
9964,Monitor,Electronics,2024-12-09,Kolkata,252,65.22,Yes,Increasing,Premium,Mumbai,307,5,28,9,Hyderabad,43.25,17.91,20.44,118,6.67,1.99
2288,Desk,Furniture,2024-11-29,Ahmedabad,140,39.79,Yes,Increasing,Regular,Hyderabad,649,2,15,13,Hyderabad,11.61,43.77,3.23,58,2.25,2.48
5324,Rice,Groceries,2024-05-18,Hyderabad,71,66.76,No,Decreasing,Budget,Hyderabad,99,6,105,8,Kolkata,65.86,72.01,2.67,32,12.72,2.43
5324,Rice,Groceries,2024-05-18,Hyderabad,71,66.76,No,Decreasing,Budget,Hyderabad,99,6,105,8,Bangalore,12.0,93.84,35.98,218,16.88,1.87
6592,Snacks,Groceries,2024-08-23,Delhi,378,98.12,No,Stable,Regular,Chennai,686,11,152,8,Ahmedabad,89.31,21.96,22.27,246,4.66,1.4
6592,Snacks,Groceries,2024-08-23,Delhi,378,98.12,No,Stable,Regular,Chennai,686,11,152,8,Hyderabad,67.88,64.97,31.85,194,0.16,0.95
8498,Fan,Home Appliances,2024-01-22,Chennai,273,19.82,No,Stable,Regular,Hyderabad,546,17,143,5,Bangalore,52.51,68.98,4.18,35,2.05,1.21
2338,Laptop,Electronics,2024-07-31,Delhi,230,46.38,Yes,Stable,Premium,Mumbai,789,0,132,3,Ahmedabad,39.7,64.96,10.32,346,12.99,1.32
8532,Mixer,Home Appliances,2024-09-01,Pune,2,93.36,No,Stable,Regular,Ahmedabad,529,5,10,3,Chennai,64.33,96.93,38.76,448,6.12,0.99
8532,Mixer,Home Appliances,2024-09-01,Pune,2,93.36,No,Stable,Regular,Kolkata,393,7,27,6,Chennai,64.33,96.93,38.76,448,6.12,0.99
6335,Sneakers,Fashion,2024-03-17,Hyderabad,158,58.89,Yes,Decreasing,Premium,Ahmedabad,986,6,163,4,Bangalore,29.89,59.16,42.43,168,4.59,1.34
6335,Sneakers,Fashion,2024-03-17,Hyderabad,158,58.89,Yes,Decreasing,Premium,Hyderabad,488,10,56,1,Bangalore,29.89,59.16,42.43,168,4.59,1.34
6335,Sneakers,Fashion,2024-03-17,Hyderabad,158,58.89,Yes,Decreasing,Premium,Bangalore,195,1,150,14,Bangalore,29.89,59.16,42.43,168,4.59,1.34
4783,Fan,Home Appliances,2024-02-26,Hyderabad,215,86.17,No,Decreasing,Regular,Bangalore,680,11,14,6,Hyderabad,40.61,35.99,0.91,146,5.89,1.19
6985,Milk,Groceries,2024-08-27,Ahmedabad,455,7.55,Yes,Decreasing,Regular,Chennai,806,2,186,10,Chennai,67.32,90.84,32.21,251,10.52,1.96
6985,Milk,Groceries,2024-08-27,Ahmedabad,455,7.55,Yes,Decreasing,Regular,Chennai,806,2,186,10,Ahmedabad,71.11,78.16,20.0,413,9.26,2.21
6985,Milk,Groceries,2024-08-27,Ahmedabad,455,7.55,Yes,Decreasing,Regular,Chennai,806,2,186,10,Hyderabad,96.8,57.38,18.6,295,4.0,1.26
6739,Hoodie,Fashion,2024-06-14,Delhi,317,12.65,No,Increasing,Premium,Bangalore,905,2,88,2,Pune,89.01,98.97,44.05,195,3.07,0.87
5747,Chair,Furniture,2024-04-06,Hyderabad,234,6.04,No,Decreasing,Premium,Kolkata,309,3,51,2,Bangalore,54.35,83.96,23.77,78,4.73,0.51
9141,T-Shirt,Fashion,2024-02-02,Kolkata,84,37.49,Yes,Increasing,Premium,Bangalore,910,13,169,8,Kolkata,69.51,59.34,34.78,456,19.24,1.69
9141,T-Shirt,Fashion,2024-02-02,Kolkata,84,37.49,Yes,Increasing,Premium,Kolkata,79,0,117,12,Kolkata,69.51,59.34,34.78,456,19.24,1.69
9801,Laptop,Electronics,2024-03-23,Pune,369,11.71,No,Decreasing,Regular,Kolkata,318,0,125,2,Kolkata,41.05,48.32,9.67,352,19.52,0.73
9222,Washing Machine,Home Appliances,2024-08-18,Mumbai,477,26.71,No,Decreasing,Premium,Ahmedabad,207,15,92,7,Bangalore,32.83,13.64,26.12,202,6.22,1.85
9222,Washing Machine,Home Appliances,2024-08-18,Mumbai,477,26.71,No,Decreasing,Premium,Ahmedabad,207,15,92,7,Bangalore,46.81,90.65,37.25,416,18.21,0.5
9222,Washing Machine,Home Appliances,2024-08-18,Mumbai,477,26.71,No,Decreasing,Premium,Kolkata,72,2,188,8,Bangalore,32.83,13.64,26.12,202,6.22,1.85
9222,Washing Machine,Home Appliances,2024-08-18,Mumbai,477,26.71,No,Decreasing,Premium,Kolkata,72,2,188,8,Bangalore,46.81,90.65,37.25,416,18.21,0.5
8158,Snacks,Groceries,2024-10-15,Kolkata,441,96.2,No,Decreasing,Regular,Kolkata,707,7,147,7,Chennai,52.73,23.76,32.82,430,2.16,1.41
